date,merchant,description,amount,category,is_anomaly
2025-01-01,SHANTI PROPERTIES,SHANTI PROPERTIES PURCHASE,17364.56,Rent,0
2025-01-01,DOMINO'S #7481,DOMINO'S #7481 PURCHASE,718.74,Dining,0
2025-01-01,EMPLOYER BANGLR,EMPLOYER BANGLR PURCHASE,33185.46,Income,0
2025-01-01,BIGBASKET,BIGBASKET PURCHASE,596.69,Groceries,0
2025-01-01,FLIPKART,FLIPKART PURCHASE,871.37,Shopping,0
2025-01-02,INDOIL647,INDOIL647 PURCHASE,261.84,Transport,0
2025-01-02,ZOMATO 029384,ZOMATO 029384 PURCHASE,203.85,Dining,0
2025-01-03,ZOMATO,ZOMATO PURCHASE,84.63,Dining,0
2025-01-04,IRC583,IRC583 PURCHASE,721.74,Transport,0
2025-01-05,DMART,DMART PURCHASE,476.57,Groceries,0
2025-01-05,BARBEQUE BANGLR,BARBEQUE BANGLR PURCHASE,724.4,Dining,0
2025-01-05,BIGBASKET,BIGBASKET PURCHASE,1153.68,Groceries,0
2025-01-07,FLI161,FLI161 PURCHASE,204.98,Shopping,0
2025-01-07,AIRTEL BROADBAND #4499,AIRTEL BROADBAND #4499 PURCHASE,1356.28,Utilities,0
2025-01-08,INDIAN OIL,INDIAN OIL PURCHASE,607.28,Transport,0
2025-01-09,BIGBASKET #2715,BIGBASKET #2715 PURCHASE,600.02,Groceries,0
2025-01-09,AMAZON SC,AMAZON SC PURCHASE,1802.04,Shopping,0
2025-01-09,UBER,UBER PURCHASE,313.12,Transport,0
2025-01-10,CAFE C SC,CAFE C SC PURCHASE,346.11,Dining,0
2025-01-11,AMAZON,AMAZON PURCHASE,897.84,Shopping,0
2025-01-11,MUNICIPA 029384,MUNICIPA 029384 PURCHASE,1943.48,Utilities,0
2025-01-12,PAYPAL *MAXHEALTHC,PAYPAL *MAXHEALTHC PURCHASE,1256.81,Healthcare,0
2025-01-13,IRCTC #5754,IRCTC #5754 PURCHASE,299.91,Transport,0
2025-01-14,EMPLOYERPAYROLL,EMPLOYERPAYROLL PURCHASE,35899.89,Income,0
2025-01-15,PAYPAL *SWIGGY,PAYPAL *SWIGGY PURCHASE,94.02,Dining,0
2025-01-15,SWIGGY #9898,SWIGGY #9898 PURCHASE,91.01,Dining,0
2025-01-16,UBE377,UBE377 PURCHASE,500.51,Transport,0
2025-01-16,IRC428,IRC428 PURCHASE,293.15,Transport,0
2025-01-16,SPO920,SPO920 PURCHASE,199.38,Entertainment,0
2025-01-18,MUNICIPA PUNE MH,MUNICIPA PUNE MH PURCHASE,1736.26,Utilities,0
2025-01-18,POS DEBIT DMART,POS DEBIT DMART PURCHASE,616.19,Groceries,0
2025-01-19,MYNTRA SC,MYNTRA SC PURCHASE,487.1,Shopping,0
2025-01-19,ICLOUD STORAGE #2836,ICLOUD STORAGE #2836 PURCHASE,417.77,Subscriptions,0
2025-01-20,BARBEQUE 029384,BARBEQUE 029384 PURCHASE,328.98,Dining,0
2025-01-21,BIGBASKET,BIGBASKET PURCHASE,897.66,Groceries,0
2025-01-22,ZOM657,ZOM657 PURCHASE,302.52,Dining,0
2025-01-23,INDOIL771,INDOIL771 PURCHASE,777.44,Transport,0
